"id","n","NNE","TYPE"
6,"4000",5.53745068831448,"Unadjusted"
7,"4000",6.64794801297978,"Unadjusted"
8,"4000",5.04791906530145,"Unadjusted"
9,"4000",5.15393313319791,"Unadjusted"
10,"4000",8.45888775626918,"Unadjusted"
11,"4000",8.36688946821378,"Unadjusted"
12,"4000",5.69271268013533,"Unadjusted"
13,"4000",8.57855347221846,"Unadjusted"
14,"4000",9.56690590450205,"Unadjusted"
15,"4000",NA,"Unadjusted"
16,"4000",5.94132037562543,"Unadjusted"
17,"4000",5.38311792097417,"Unadjusted"
18,"4000",5.80050038232432,"Unadjusted"
19,"4000",5.69438862592792,"Unadjusted"
20,"4000",6.03755168693569,"Unadjusted"
21,"4000",5.0143597597639,"Unadjusted"
22,"4000",7.7507871002825,"Unadjusted"
23,"4000",6.3554713202687,"Unadjusted"
24,"4000",6.60166237998095,"Unadjusted"
25,"4000",8.88839262038527,"Unadjusted"
26,"4000",6.58646711586977,"Unadjusted"
27,"4000",9.58311904053645,"Unadjusted"
28,"4000",7.04150919065665,"Unadjusted"
29,"4000",5.24060533532552,"Unadjusted"
30,"4000",6.55303980862721,"Unadjusted"
31,"4000",6.32547572184071,"Unadjusted"
32,"4000",NA,"Unadjusted"
33,"4000",6.86638678835727,"Unadjusted"
34,"4000",9.98622189213633,"Unadjusted"
35,"4000",6.47800306329773,"Unadjusted"
36,"4000",NA,"Unadjusted"
37,"4000",7.62532597922836,"Unadjusted"
38,"4000",7.47852112579011,"Unadjusted"
39,"4000",8.75201826413171,"Unadjusted"
40,"4000",6.70206636913846,"Unadjusted"
41,"4000",5.71643272465823,"Unadjusted"
42,"4000",4.74939996541871,"Unadjusted"
43,"4000",5.97050797600459,"Unadjusted"
44,"4000",6.70645899119158,"Unadjusted"
45,"4000",6.05535565894601,"Unadjusted"
46,"4000",5.04136897952147,"Unadjusted"
47,"4000",6.16970325500731,"Unadjusted"
48,"4000",6.12549324032538,"Unadjusted"
49,"4000",6.38375729825657,"Unadjusted"
50,"4000",6.19701880674581,"Unadjusted"
